mortgage,card_utilization,amount_past_due,dda_balance_9m,card_balance,card_balance_3m,card_balance_6m,card_balance_12m,delinquency_status,delinquency_status_3m,delinquency_status_6m,delinquency_status_12m,credit_inquiry,credit_inquiry_3m,credit_inquiry_6m,credit_inquiry_12m,open_trade,open_trade_3m,open_trade_6m,open_trade_12m,gender,race,race_category,status
222846.64,0.647269646,0.0,0.0,1529.16,1588.97,920.95,962.59,0,1,1,1,0,2,0,4,0,2,0,2,0,1,White,1
177055.47,0.800792254,0.0,1218.25,715.93,754.42,731.91,487.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,0
276848.89,0.523510834,491.28,0.0,710.04,1116.03,754.32,823.35,1,1,1,1,0,2,0,7,0,0,0,4,0,1,White,0
144529.02,0.248880304,0.0,0.0,758.12,472.78,535.5,616.31,0,0,1,1,0,0,0,6,0,0,0,2,1,1,White,1
281469.72,0.194190348,0.0,0.0,168.81,573.29,682.69,724.2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,White,1
301156.36,0.258749468,254.29,0.0,300.87,183.94,122.19,294.17,2,2,2,2,1,2,0,0,1,1,0,0,0,1,White,0
197523.07,0.062253251,0.0,0.0,25.47,209.7,189.18,284.5,0,0,0,2,0,2,0,4,0,0,0,2,0,1,White,0
215304.54,0.986174559,0.0,4539.24,3272.82,1636.5,2121.79,1815.7,0,0,1,1,0,2,0,0,0,0,0,0,1,1,White,1
236043.6,0.90525615,1923.97,0.0,2752.42,1143.81,1200.08,692.44,1,1,1,1,0,2,0,0,0,1,0,0,1,1,White,1
230044.02,0.879568477,424.8,0.0,979.56,614.11,728.93,807.52,2,2,2,2,0,0,0,0,0,0,0,0,0,1,White,0
352580.7,0.387356225,0.0,4008.64,758.16,1476.91,1711.77,1603.46,0,0,0,0,0,0,0,5,0,0,0,2,0,1,White,1
487734.69,0.797811855,691.56,1248.65,1049.98,930.73,622.97,499.46,5,5,5,5,3,3,2,5,1,2,0,1,0,1,White,1
265322.49,0.162856792,48.25,0.0,512.55,696.07,1016.57,968.1,5,5,5,5,2,2,4,0,1,2,2,0,0,1,White,1
231529.46,0.095466092,23.25,0.0,100.85,441.39,432.84,379.43,1,1,1,1,0,0,4,8,0,0,2,2,0,1,White,0
238528.51,0.55761345,1232.83,0.0,1490.76,1914.16,1774.5,1103.82,5,5,5,5,2,1,0,0,0,0,0,0,1,1,White,0
222983.06,0.53775171,0.0,0.0,1030.04,1390.01,1361.14,967.29,0,0,0,2,0,0,0,0,0,0,0,0,0,1,White,1
256028.69,0.675213821,1914.0,0.0,4812.72,2944.36,3227.96,3914.75,3,3,3,3,1,2,0,0,1,1,0,0,1,1,White,1
291677.9,0.505726746,0.0,0.0,760.98,750.32,583.26,651.65,0,1,1,1,0,2,4,0,0,2,1,0,1,1,White,1
326819.49,0.305046472,0.0,0.0,497.79,326.78,360.16,788.99,0,2,2,2,0,2,0,6,0,1,0,5,1,1,White,1
339133.06,0.615822046,0.0,3481.36,1600.14,2044.38,2067.44,1392.54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
191510.1,0.888908834,0.0,0.0,3367.22,1814.37,976.91,1949.09,0,0,0,1,0,1,2,5,0,1,0,4,1,1,White,0
189570.23,0.715525862,25.53,7173.16,3914.05,2708.23,3094.51,2869.26,1,1,3,4,0,1,6,7,0,0,2,3,1,1,White,1
381585.22,0.21498821,0.0,1229.0,209.87,166.18,505.52,491.6,0,0,0,0,0,0,2,0,0,0,0,0,0,1,White,1
312594.84,0.147541352,0.0,0.0,134.3,625.44,453.22,416.41,0,0,0,1,0,0,4,8,0,0,3,4,0,1,White,1
358977.24,0.157301538,62.77,0.0,116.67,202.0,154.83,129.59,4,4,4,4,2,2,4,6,2,0,2,3,0,1,White,1
276776.52,0.246500559,822.25,0.0,1033.26,1036.93,1564.62,2322.79,4,4,4,4,1,1,6,3,1,0,0,2,1,1,White,1
211046.44,0.308976946,0.0,0.0,257.46,408.72,348.17,249.95,0,0,0,0,1,0,0,0,1,0,0,0,0,1,White,1
482500.82,0.29535032,129.96,0.0,372.62,270.89,319.31,192.54,1,1,1,1,1,3,6,0,1,2,3,0,0,1,White,0
235365.92,0.350502338,0.0,0.0,1053.84,1296.34,738.09,1771.23,0,1,1,1,1,3,1,8,1,2,1,2,0,1,White,0
228782.96,0.078706732,0.0,0.0,136.07,1053.12,1373.37,699.82,0,0,0,0,0,1,0,0,0,0,0,0,1,1,White,1
520480.35,0.665145247,1074.73,3087.94,1185.18,1366.17,1288.05,1235.17,5,5,5,5,3,0,0,7,0,0,0,2,0,1,White,0
381090.04,0.086897052,11.02,0.0,469.35,816.46,3017.93,1811.45,2,2,2,2,0,0,0,0,0,0,0,0,1,1,White,1
382912.2,0.428403172,901.96,0.0,2233.18,3759.7,2375.79,3200.87,2,2,2,2,0,0,0,0,0,0,0,0,1,1,White,1
286426.96,0.323851681,299.13,0.0,916.58,1161.0,782.72,1713.73,5,5,5,5,1,0,0,8,0,0,0,4,1,1,White,1
272224.85,0.134442586,42.44,0.0,150.54,352.55,673.29,846.2,3,3,3,3,1,0,3,0,0,0,1,0,0,1,White,1
386368.65,0.247977561,0.0,0.0,422.77,796.68,943.47,1255.29,0,0,1,1,0,0,4,8,0,0,2,6,0,1,White,0
400633.46,0.251929766,0.0,0.0,343.34,324.11,387.97,491.37,0,5,5,5,1,4,3,0,1,4,2,0,0,1,White,1
218936.87,0.919422034,0.0,0.0,2593.46,1133.54,721.03,1770.7,0,2,2,3,0,2,0,6,0,2,0,4,1,1,White,0
253886.55,0.07299392,0.0,2995.97,186.43,953.67,949.74,1198.39,0,0,0,2,1,1,0,4,0,0,0,0,1,1,White,1
216068.16,0.130219413,200.67,3312.08,261.55,726.58,900.28,1324.83,4,4,4,4,2,1,4,3,1,0,2,1,1,1,White,1
308468.62,0.991126937,0.0,0.0,3547.19,2523.34,1550.59,2062.3,0,0,1,1,0,2,3,0,0,1,2,0,1,1,White,1
179152.73,0.251714936,0.0,0.0,519.68,1195.3,1289.71,1233.2,0,2,2,2,0,1,2,7,0,0,1,1,0,1,White,0
376567.04,0.698629898,0.0,647.26,433.99,414.07,385.22,258.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,1
348486.57,0.170391572,0.0,0.0,571.8,272.55,476.89,591.54,0,0,1,1,0,0,0,0,0,0,0,0,1,1,White,1
307311.73,0.84585795,0.0,0.0,1101.97,437.23,350.43,754.3,0,1,1,1,0,1,3,0,0,0,1,0,0,1,White,0
257961.65,0.841492589,0.0,1501.82,1275.87,705.13,455.5,600.73,0,0,0,1,0,2,0,9,0,1,0,3,1,1,White,1
282768.13,0.938816198,0.0,0.0,2435.12,1596.98,1956.24,1334.08,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
231500.45,0.701684077,0.0,0.0,647.14,553.4,728.13,797.43,0,1,1,1,0,0,4,0,0,0,1,0,0,1,White,1
434637.35,0.197171446,0.0,0.0,564.61,414.73,1471.44,2150.21,0,0,3,3,0,1,3,4,0,0,2,3,1,1,White,1
319750.78,0.181368898,32.37,0.0,300.71,507.58,369.47,954.65,4,4,4,4,0,1,0,0,0,1,0,0,0,1,White,1
262798.38,0.710842407,469.44,1723.97,1734.54,857.58,906.54,689.59,4,4,4,4,2,0,0,3,1,0,0,2,1,1,White,1
257731.17,0.895461741,2032.33,3368.34,2956.28,1902.53,1951.88,1347.34,1,5,5,5,1,4,4,8,0,2,0,4,1,1,White,0
276621.11,0.130041293,30.01,0.0,119.39,298.15,255.06,223.53,1,1,1,1,0,0,0,0,0,0,0,0,0,1,White,1
296849.05,0.839291343,341.4,952.02,755.44,359.62,455.24,380.81,2,2,2,2,0,0,0,0,0,0,0,0,0,1,White,0
279171.79,0.448464069,0.0,0.0,1529.36,1315.86,1852.34,1939.62,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
324744.04,0.459769394,0.0,0.0,476.15,342.17,506.98,714.62,0,0,0,1,0,0,0,5,0,0,0,2,0,1,White,1
235620.99,0.586383633,1019.83,0.0,3044.77,2138.54,3409.62,3194.57,4,4,4,4,2,0,2,4,2,0,1,4,1,1,White,1
124957.6,0.729594531,2483.13,0.0,2976.57,2393.51,2004.48,2093.5,5,5,5,5,2,2,3,7,1,1,0,4,1,1,White,0
189648.07,0.767958426,0.0,0.0,2626.61,1474.29,1027.24,733.34,0,0,0,0,1,0,0,4,1,0,0,2,1,1,White,1
301859.79,0.720119184,2096.6,0.0,2263.28,1916.36,1560.86,1044.69,2,2,2,2,1,2,0,0,1,0,0,0,1,1,White,1
291243.59,0.212906885,0.0,0.0,558.36,825.5,1706.31,1420.35,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
231838.11,0.366357707,249.5,0.0,1406.93,927.38,1069.67,1790.71,4,4,4,4,1,0,0,4,0,0,0,2,1,1,White,1
342011.01,0.840531536,831.57,0.0,1759.66,831.66,660.06,825.13,1,1,1,1,0,0,0,0,0,0,0,0,1,1,White,0
374668.59,0.934178046,0.0,0.0,2591.02,2394.31,1752.1,2171.38,0,0,2,5,1,2,4,6,1,2,4,3,1,1,White,1
226802.18,0.137045289,0.0,4327.19,438.06,569.62,1677.72,1730.88,0,1,1,1,0,0,0,0,0,0,0,0,1,1,White,1
631941.44,0.40780467,0.0,0.0,871.33,847.96,557.04,927.8,0,1,1,1,1,2,0,0,0,1,0,0,1,1,White,1
396962.29,0.056985349,0.0,0.0,533.85,1382.62,1533.05,1948.56,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
274069.12,0.964522941,0.0,0.0,2856.51,1507.88,1070.25,769.4,0,1,1,1,0,2,2,5,0,0,1,4,1,1,White,0
228041.63,0.785035293,752.27,4784.3,3038.01,2089.27,1530.58,1913.72,3,3,3,3,0,0,2,0,0,0,2,0,1,1,White,1
239335.02,0.329434479,191.42,0.0,383.17,365.61,206.75,680.11,5,5,5,5,3,3,5,7,2,1,4,4,0,1,White,0
411915.31,0.092467981,24.17,0.0,100.52,171.17,340.14,343.62,2,2,2,2,0,0,2,0,0,0,1,0,0,1,White,1
247445.29,0.793698968,1728.11,8979.39,3828.29,2861.55,3823.79,3591.76,1,1,1,1,0,0,3,5,0,0,2,4,0,1,White,0
328034.82,0.675705305,1938.2,0.0,3437.12,2500.55,3735.29,2951.59,5,5,5,5,2,4,2,7,2,2,1,4,1,1,White,0
418679.23,0.267440605,0.0,0.0,793.12,1963.01,1438.45,958.13,0,0,0,1,0,3,3,8,0,3,2,4,1,1,White,1
358426.55,0.510305104,1159.76,0.0,1264.16,1137.39,1570.82,2001.92,5,5,5,5,0,3,4,6,0,2,3,2,1,1,White,0
200016.12,0.417179836,577.29,0.0,578.8,581.29,673.74,612.39,4,4,4,4,0,0,0,0,0,0,0,0,0,1,White,0
259701.02,0.222651075,0.0,0.0,655.44,603.84,1572.65,1519.96,0,1,1,1,0,0,0,0,0,0,0,0,1,1,White,1
256121.33,0.13218202,145.71,1075.73,207.6,369.92,588.05,430.29,4,4,4,4,2,3,4,8,2,1,2,5,0,1,White,0
207027.2,0.543548775,937.1,0.0,1057.76,519.86,652.64,494.55,4,4,4,4,2,1,2,5,1,0,1,4,0,1,White,1
207969.69,0.67806124,254.99,0.0,1505.0,1554.34,1422.55,1509.93,1,1,1,1,0,0,0,0,0,0,0,0,1,1,White,0
181475.43,0.769214318,104.21,0.0,1149.55,546.88,396.94,811.63,1,1,1,1,1,2,0,0,1,1,0,0,0,1,White,0
419195.32,0.301999234,0.0,1036.2,386.16,328.83,355.17,414.48,0,0,0,1,0,0,0,0,0,0,0,0,0,1,White,1
180108.52,0.212625291,81.01,778.01,220.53,370.83,250.89,311.2,1,1,1,2,0,1,3,4,0,1,0,1,0,1,White,0
224536.28,0.889950333,895.4,2005.39,1172.42,591.4,538.22,802.16,5,5,5,5,3,1,6,6,2,1,3,3,0,1,White,0
301713.66,0.539476919,0.0,0.0,1915.44,2846.2,2637.3,1463.66,0,0,0,1,0,0,0,5,0,0,0,1,1,1,White,1
304495.44,0.908593358,0.0,0.0,3738.32,2448.99,2876.27,1765.9,0,0,0,2,1,0,4,6,1,0,1,3,1,1,White,0
311411.98,0.292091398,31.17,0.0,649.84,547.86,1359.71,1173.6,4,4,4,4,0,0,0,0,0,0,0,0,1,1,White,1
336561.58,0.868382353,0.0,0.0,979.8,887.87,938.6,878.52,0,0,0,0,0,3,0,7,0,2,0,4,0,1,White,1
372285.06,0.413128896,0.0,5670.85,1715.38,3027.74,3185.19,2268.34,0,0,0,0,0,2,3,0,0,1,0,0,1,1,White,1
192953.32,0.050637095,72.13,0.0,102.67,793.77,612.39,1250.52,2,2,2,2,1,1,2,6,1,1,1,2,1,1,White,1
252652.88,0.178689906,0.0,0.0,289.52,284.67,931.59,629.52,0,3,3,3,0,2,0,8,0,1,0,3,1,1,White,1
289525.52,0.4810056,0.0,0.0,711.22,729.79,772.24,910.02,0,0,0,1,0,0,0,4,0,0,0,3,0,1,White,1
311511.8,0.988883927,245.85,0.0,875.51,730.97,780.96,519.25,2,2,2,2,0,1,3,5,0,1,1,4,0,1,White,0
252746.92,0.217999118,0.0,0.0,1133.8,2616.81,2267.2,2342.46,0,0,0,1,0,1,3,5,0,0,0,2,1,1,White,1
258028.48,0.897539387,0.0,0.0,2167.53,1944.11,1395.95,932.29,0,0,0,1,0,0,0,6,0,0,0,4,1,1,White,0
402415.84,0.104588922,0.0,0.0,60.79,229.12,150.86,274.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,0
322388.02,0.537986438,0.0,0.0,450.87,264.24,190.62,202.4,0,0,0,1,1,2,2,7,0,2,1,2,0,1,White,1
254197.52,0.163267326,158.04,0.0,256.44,720.33,1030.24,723.49,5,5,5,5,2,1,3,7,2,0,1,3,1,1,White,0
244342.94,0.184471216,253.81,0.0,669.13,1178.91,2348.82,1784.13,4,4,4,4,2,2,0,0,0,2,0,0,1,1,White,1
228956.66,0.609930704,0.0,0.0,2399.08,1400.33,1346.93,1416.17,0,0,1,1,0,0,0,0,0,0,0,0,1,1,White,0
223643.31,0.990119293,0.0,0.0,917.91,638.58,620.15,736.56,0,2,2,2,0,3,3,7,0,2,0,6,0,1,White,1
215321.01,0.16932914,60.11,0.0,150.06,410.52,456.72,558.92,2,2,2,2,0,2,2,4,0,1,1,2,0,1,White,0
222025.2,0.18805567,7.85,0.0,457.11,1681.6,1321.63,1216.01,1,1,1,1,0,3,3,0,0,2,2,0,1,1,White,0
184420.95,0.684011947,0.0,4351.67,1779.57,997.47,947.01,1740.67,0,0,2,2,0,1,5,7,0,0,2,3,1,1,White,0
204011.51,0.818667051,0.0,10670.4,5057.88,4457.62,5024.63,4268.16,0,1,1,1,0,0,2,0,0,0,1,0,1,1,White,1
242855.18,0.185153515,0.0,0.0,676.62,1813.01,2657.62,2784.24,0,0,0,0,0,0,0,5,0,0,0,3,1,1,White,1
278636.69,0.065814866,0.0,0.0,365.99,599.54,1138.09,1583.15,0,0,0,0,0,0,0,4,0,0,0,3,1,1,White,1
306853.04,0.297012308,126.19,0.0,1669.7,1216.62,3262.08,2924.82,2,2,2,2,1,3,2,0,0,1,0,0,1,1,White,0
226316.64,0.313205071,0.0,0.0,346.75,240.76,132.33,282.47,0,0,0,0,0,0,2,6,0,0,2,3,0,1,White,1
281461.22,0.432802632,0.0,0.0,174.92,87.91,104.13,76.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,1
272404.4,0.484099935,0.0,0.0,1400.49,934.12,897.56,849.33,0,0,0,1,0,0,3,6,0,0,2,2,0,1,White,1
256668.91,0.32941037,0.0,0.0,475.57,235.36,310.68,652.07,0,0,0,3,0,0,2,7,0,0,2,3,1,1,White,1
174311.36,0.173644825,219.33,2641.09,377.74,842.81,624.18,1056.44,2,3,3,3,0,3,1,0,0,1,0,0,1,1,White,1
209927.47,0.762875374,0.0,0.0,2960.76,1374.62,981.33,1598.95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,0
308808.42,0.155382128,887.7,0.0,1051.67,3169.18,2537.43,1344.1,1,1,1,4,0,0,0,4,0,0,0,1,1,1,White,1
252414.04,0.377636608,0.0,0.0,647.03,332.53,244.47,239.77,0,2,2,2,1,0,2,0,1,0,2,0,1,1,White,1
204400.46,0.022050007,0.0,0.0,23.49,610.56,591.79,433.03,0,5,5,5,0,3,3,9,0,1,2,5,0,1,White,0
552549.15,0.475561886,0.0,0.0,2694.93,2599.97,2261.58,1593.68,0,0,1,1,0,0,0,5,0,0,0,3,1,1,White,1
267545.39,0.064437853,0.0,1395.24,60.75,176.89,548.72,558.1,0,4,4,4,1,6,4,3,0,1,3,2,0,1,White,0
223571.85,0.396530297,100.13,694.21,283.25,117.67,102.06,277.68,2,3,4,4,1,4,2,0,1,3,1,0,0,1,White,0
304280.37,0.503708526,0.0,0.0,662.1,583.29,454.02,679.88,0,0,1,1,0,0,0,0,0,0,0,0,1,1,White,1
330431.07,0.328861084,999999999.0,0.0,797.61,1748.72,1803.21,2071.76,0,0,1,1,0,0,4,0,0,0,3,0,1,1,White,1
241993.53,0.228339775,0.0,0.0,922.34,2805.17,1621.37,1312.01,0,1,1,1,0,0,4,0,0,0,1,0,1,1,White,1
307506.57,0.428712257,0.0,0.0,2125.02,1656.15,1318.0,2709.1,0,4,5,5,1,3,7,6,0,1,5,3,1,1,White,1
257470.6,0.198410313,214.27,1733.36,360.8,221.25,299.6,693.34,4,4,4,4,0,1,0,7,0,0,0,3,1,1,White,1
263187.54,0.517303626,555.05,0.0,1090.35,659.53,618.29,1302.2,3,3,4,4,2,2,4,7,0,1,2,4,1,1,White,0
482838.02,0.9039812,0.0,0.0,2081.39,2146.06,2058.57,1660.78,0,0,0,5,0,0,4,7,0,0,2,3,0,1,White,1
246258.18,0.420817989,379.13,0.0,1096.85,839.56,1290.41,1219.36,3,3,4,4,0,1,4,1,0,1,2,0,1,1,White,1
182432.86,0.776567584,2074.23,0.0,5306.74,4075.12,2906.24,1517.8,1,1,1,1,0,0,0,5,0,0,0,2,1,1,White,0
512378.78,0.345673768,1520.07,0.0,1666.7,1318.44,1063.59,1668.58,1,2,2,2,0,1,0,0,0,0,0,0,1,1,White,1
282891.99,0.262934284,69.32,0.0,148.59,364.09,214.79,206.67,1,4,4,4,1,6,10,8,0,3,7,5,0,1,White,0
281333.9,0.324548203,0.0,0.0,936.71,1611.96,1963.13,2375.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,White,1
268848.26,0.240561614,0.0,2755.87,460.01,1044.32,627.7,1102.35,0,0,2,2,0,3,4,0,0,3,2,0,0,1,White,1
366109.35,0.128674195,0.0,0.0,141.58,560.5,348.86,376.34,0,0,0,0,0,0,0,8,0,0,0,4,0,1,White,1
222247.98,0.354552844,0.0,0.0,1488.84,1184.62,2455.67,2370.65,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
299137.04,0.78531035,0.0,0.0,809.43,807.84,553.58,471.5,0,0,0,2,0,0,6,0,0,0,3,0,0,1,White,0
295397.93,0.376570818,60.65,1758.34,483.46,537.53,884.79,703.33,5,5,5,5,7,0,0,0,5,0,0,0,0,1,White,0
246259.44,0.650330512,0.0,8818.5,4315.8,5190.71,3042.02,3527.4,0,0,2,2,0,0,0,0,0,0,0,0,1,1,White,1
323055.35,0.604270908,659.38,0.0,1008.53,1137.73,831.32,1236.75,4,4,4,4,1,2,0,4,0,2,0,2,1,1,White,0
180033.22,0.672291222,856.51,0.0,1134.16,1487.04,977.97,1002.37,1,2,2,2,0,0,3,0,0,0,1,0,0,1,White,1
248212.33,0.307653903,0.0,606.55,217.44,392.55,311.33,242.62,0,0,0,1,0,0,3,5,0,0,0,2,0,1,White,0
507462.19,0.524072396,580.1,0.0,1722.65,1445.04,1013.37,833.88,1,1,1,1,0,0,2,0,0,0,1,0,1,1,White,0
364482.33,0.110351038,0.0,3402.88,442.74,1577.79,1240.41,1361.15,0,2,2,2,0,2,3,4,0,1,0,3,1,1,White,1
331528.2,0.684693601,0.0,0.0,1116.14,846.01,569.72,938.95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
671082.35,0.236576903,99.68,0.0,745.17,1071.06,1263.95,2028.11,5,5,5,5,0,2,3,5,0,1,2,3,1,1,White,1
238175.39,0.453361678,0.0,667.47,496.72,428.3,305.68,266.99,0,0,0,0,1,0,0,0,1,0,0,0,0,1,White,0
297813.72,0.910063919,0.0,0.0,1702.51,1438.27,1110.57,911.2,0,2,2,2,0,2,0,0,0,1,0,0,1,1,White,0
360587.65,0.797296439,0.0,0.0,758.87,426.54,362.25,384.49,0,0,1,1,0,0,1,7,0,0,0,2,0,1,White,0
248155.49,0.459427249,1222.97,0.0,1566.67,2613.14,2985.3,3038.58,1,1,1,1,1,0,0,0,0,0,0,0,1,1,White,1
417910.23,0.56601916,666.88,2823.17,917.68,1371.88,726.27,1129.27,2,2,2,2,1,0,0,0,1,0,0,0,0,1,White,1
206683.78,0.103458878,0.0,1607.3,373.73,927.42,524.8,642.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,1
228886.82,0.5731264,0.0,0.0,917.46,824.48,628.32,888.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,1
292758.32,0.15925579,31.38,0.0,191.66,407.54,420.33,538.94,1,1,1,1,0,0,5,0,0,0,4,0,0,1,White,0
232342.53,0.968575117,0.0,852.05,571.38,246.6,212.79,340.82,0,0,0,0,0,0,0,5,0,0,0,3,0,1,White,0
317425.14,0.1589068,0.0,915.96,262.7,416.34,385.35,366.39,0,2,2,2,0,2,0,7,0,1,0,3,0,1,White,1
346815.24,0.379787508,148.61,0.0,216.4,174.64,198.09,135.98,1,1,1,1,1,0,0,0,0,0,0,0,0,1,White,0
215837.66,0.403638357,0.0,0.0,508.64,905.77,692.94,522.07,0,4,4,4,1,3,3,0,0,2,1,0,0,1,White,0
401534.88,0.970480946,502.65,999999999.0,3382.68,3005.98,2912.31,2894.05,4,4,4,4,2,0,0,0,1,0,0,0,1,1,White,0
265811.8,0.374657671,27.17,0.0,484.93,243.65,216.33,523.35,3,5,5,5,1,2,4,10,0,1,2,5,1,1,White,0
195983.01,0.304822952,0.0,0.0,398.86,701.42,775.22,588.14,0,0,0,2,0,2,0,0,0,0,0,0,0,1,White,1
347186.95,0.47380843,0.0,0.0,269.58,216.46,223.94,147.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,White,1
305078.55,0.29266261,81.28,0.0,636.85,1036.9,1559.79,1295.6,2,2,2,2,0,0,0,0,0,0,0,0,0,1,White,1
255251.95,0.850988273,0.0,0.0,2471.09,1368.15,1733.4,2187.63,0,4,4,4,0,2,4,7,0,0,2,4,1,1,White,1
260485.3,0.913390571,0.0,0.0,3857.25,3786.8,2109.73,1845.57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,0
426993.56,0.363753895,0.0,0.0,562.02,624.64,958.91,693.08,0,2,5,5,0,2,4,3,0,0,0,2,0,1,White,1
263457.87,0.932787133,0.0,0.0,2511.02,1186.43,1193.88,1781.94,0,2,2,2,0,0,4,8,0,0,2,3,1,1,White,0
299496.82,0.493172058,0.0,0.0,1646.6,1758.67,1015.57,1095.07,0,1,1,3,0,0,0,6,0,0,0,2,1,1,White,1
292100.62,0.856006702,0.0,0.0,2632.62,2117.87,1482.26,1532.72,0,1,1,2,1,3,0,6,1,2,0,4,1,1,White,1
243696.48,0.316605041,0.0,3386.7,1477.89,2050.64,1211.7,1354.68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
255692.21,0.629177468,0.0,1424.06,687.34,581.85,804.58,569.62,0,1,1,1,0,2,5,0,0,1,1,0,0,1,White,0
181682.7,0.955419141,0.0,0.0,1958.68,1622.73,1318.64,1238.8,0,1,1,1,0,2,0,0,0,2,0,0,1,1,White,0
265319.0,0.132100422,34.04,0.0,193.33,708.68,810.36,713.49,4,4,4,4,2,3,3,5,1,3,1,5,1,1,White,0
211640.77,0.071231876,203.99,0.0,252.88,730.69,1153.69,2157.56,5,5,5,5,2,2,6,0,2,1,3,0,1,1,White,0
265037.09,0.348481258,0.0,0.0,298.27,325.3,257.23,461.05,0,2,2,2,0,2,0,5,0,0,0,3,0,1,White,1
280558.9,0.556969436,0.0,0.0,1100.27,1097.6,870.66,760.13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,White,1
317547.07,0.851585772,0.0,0.0,631.21,265.68,230.11,163.67,0,1,1,1,0,0,4,0,0,0,2,0,0,1,White,0
234147.98,0.476753186,0.0,591.51,481.44,330.6,316.45,236.6,0,1,1,1,0,3,0,0,0,2,0,0,1,1,White,1
159525.43,0.793774954,842.33,0.0,1098.65,589.21,966.62,692.87,2,2,2,2,0,2,3,0,0,2,1,0,0,1,White,0
528043.91,0.266093713,0.0,0.0,506.29,1154.7,1031.87,748.41,0,1,1,1,1,2,0,0,0,1,0,0,1,1,White,1
479978.82,0.410076664,463.85,0.0,964.06,429.58,1329.99,794.37,1,1,1,1,0,0,4,6,0,0,2,2,1,1,White,1
213374.65,0.900237585,662.27,2277.11,1163.32,595.37,866.25,910.84,5,5,5,5,1,2,3,6,1,1,1,2,0,1,White,0
240242.55,0.880797864,885.11,0.0,1508.04,549.86,1024.47,656.12,3,3,3,3,0,1,1,0,0,1,0,0,0,1,White,0
176037.29,0.533336464,0.0,6005.01,2201.58,1742.21,2784.7,2402.0,0,0,0,0,0,0,2,7,0,0,1,2,1,1,White,1
162951.18,0.050184486,49.58,0.0,84.7,993.73,1124.06,1231.81,1,1,1,1,1,2,1,0,0,1,1,0,1,1,White,0
